date,region,product,channel,segment,revenue,units_sold,orders,customers,fulfilled_orders,stockout_events,inventory_units,cost_of_goods,marketing_spend,returns,support_tickets
2023-01-02,North,Product A,Online,Enterprise,11458.59,43,12,9,12,0,207,6541.35,961.9,1,2
2023-01-02,North,Product A,Online,SMB,6791.99,25,10,7,10,0,134,3816.58,618.18,0,1
2023-01-02,North,Product A,Retail Partner,Enterprise,8507.4,32,9,7,9,0,161,4762.91,408.63,1,1
2023-01-02,North,Product A,Retail Partner,SMB,4838.65,18,7,5,7,0,106,2785.98,267.79,0,1
2023-01-02,North,Product B,Online,Enterprise,5793.78,31,9,7,9,0,158,3728.47,529.93,1,1
2023-01-02,North,Product B,Online,SMB,3968.14,21,8,6,8,0,99,2488.57,328.15,1,1
2023-01-02,North,Product B,Retail Partner,Enterprise,4274.12,23,7,5,7,0,109,2714.31,191.97,0,1
2023-01-02,North,Product B,Retail Partner,SMB,2443.73,13,5,4,5,0,76,1564.47,136.47,0,1
2023-01-02,North,Product C,Online,Enterprise,8945.24,22,6,5,6,0,113,5576.62,918.45,0,1
2023-01-02,North,Product C,Online,SMB,5640.63,14,5,4,5,0,76,3538.21,526.68,0,1
2023-01-02,North,Product C,Retail Partner,Enterprise,6817.24,16,5,4,5,0,87,4230.34,358.7,0,1
2023-01-02,North,Product C,Retail Partner,SMB,4552.97,11,4,3,4,0,64,2819.43,231.23,0,1
2023-01-02,South,Product A,Online,Enterprise,9065.53,34,10,7,10,0,167,5173.76,797.27,1,2
2023-01-02,South,Product A,Online,SMB,5653.7,21,8,7,8,0,115,3129.9,641.12,0,1
2023-01-02,South,Product A,Retail Partner,Enterprise,6367.54,24,7,5,7,0,132,3637.6,308.05,1,1
2023-01-02,South,Product A,Retail Partner,SMB,4235.15,16,6,5,6,0,89,2373.38,204.37,0,1
2023-01-02,South,Product B,Online,Enterprise,4753.21,25,7,6,7,0,130,3032.52,406.56,1,1
2023-01-02,South,Product B,Online,SMB,3284.56,17,7,6,7,0,88,2041.65,307.22,1,1
2023-01-02,South,Product B,Retail Partner,Enterprise,3480.23,18,5,4,5,0,106,2188.69,195.81,0,1
2023-01-02,South,Product B,Retail Partner,SMB,2284.6,12,5,4,5,0,64,1411.72,126.06,0,1
