date,hospital,department,admissions,discharges,recovered_patients,readmissions,deaths,bed_days,length_of_stay_days,beds_available,treatment_cost
2023-01-02,Riverside General,Emergency,168,159,144,10,2,633,3.98,116,295464.87
2023-01-02,Riverside General,Cardiology,72,68,63,4,1,271,3.98,72,130985.47
2023-01-02,Riverside General,Surgery,64,61,56,4,1,352,5.77,64,115574.17
2023-01-02,Riverside General,Paediatrics,101,94,86,6,1,384,4.09,88,180230.44
2023-01-09,Riverside General,Emergency,164,153,138,10,2,646,4.22,116,312893.34
2023-01-09,Riverside General,Cardiology,76,72,65,5,1,283,3.93,72,133733.12
2023-01-09,Riverside General,Surgery,59,55,50,4,0,314,5.71,64,109726.33
2023-01-09,Riverside General,Paediatrics,100,95,88,6,1,390,4.11,88,175267.35
2023-01-16,Riverside General,Emergency,169,159,143,10,2,690,4.34,116,317337.78
2023-01-16,Riverside General,Cardiology,73,69,63,4,1,268,3.89,72,131999.53
2023-01-16,Riverside General,Surgery,60,56,52,4,0,340,6.08,64,115720.0
2023-01-16,Riverside General,Paediatrics,99,93,85,6,1,389,4.18,88,179636.73
2023-01-23,Riverside General,Emergency,168,160,149,10,2,626,3.91,116,306254.03
2023-01-23,Riverside General,Cardiology,70,66,60,4,1,286,4.33,72,125044.77
2023-01-23,Riverside General,Surgery,58,55,51,4,0,309,5.61,64,103575.87
2023-01-23,Riverside General,Paediatrics,94,89,83,6,1,347,3.9,88,171713.98
2023-01-30,Riverside General,Emergency,158,150,136,10,2,591,3.94,116,301305.29
2023-01-30,Riverside General,Cardiology,70,67,62,4,1,274,4.09,72,122914.28
2023-01-30,Riverside General,Surgery,63,60,55,4,1,364,6.06,64,114330.3
2023-01-30,Riverside General,Paediatrics,90,85,80,6,1,373,4.39,88,166203.76
2023-02-06,Riverside General,Emergency,165,156,147,10,2,655,4.2,116,308166.73
2023-02-06,Riverside General,Cardiology,78,75,69,5,1,314,4.19,72,138561.03
2023-02-06,Riverside General,Surgery,62,59,55,4,0,326,5.52,64,118469.39
2023-02-06,Riverside General,Paediatrics,91,85,77,6,1,343,4.04,88,168347.66
2023-02-13,Riverside General,Emergency,158,149,135,10,2,629,4.22,116,289660.52
2023-02-13,Riverside General,Cardiology,72,69,62,4,1,298,4.32,72,126315.84
2023-02-13,Riverside General,Surgery,60,57,51,4,0,336,5.9,64,113182.13
2023-02-13,Riverside General,Paediatrics,92,86,80,6,1,352,4.09,88,162102.15
2023-02-20,Riverside General,Emergency,165,158,145,10,2,623,3.94,116,308904.59
2023-02-20,Riverside General,Cardiology,78,75,69,5,1,314,4.18,72,149484.52
2023-02-20,Riverside General,Surgery,58,56,51,4,0,311,5.55,64,109224.58
2023-02-20,Riverside General,Paediatrics,91,87,80,6,1,347,3.99,88,167822.05
2023-02-27,Riverside General,Emergency,168,157,145,10,2,652,4.15,116,318218.82
2023-02-27,Riverside General,Cardiology,74,71,64,5,1,285,4.01,72,141605.74
2023-02-27,Riverside General,Surgery,65,61,57,4,1,367,6.02,64,120977.13
2023-02-27,Riverside General,Paediatrics,100,93,86,6,1,405,4.35,88,184657.36
2023-03-06,Riverside General,Emergency,175,165,151,11,2,637,3.86,116,320472.03
2023-03-06,Riverside General,Cardiology,76,72,65,5,1,307,4.26,72,140968.94
2023-03-06,Riverside General,Surgery,64,60,54,4,1,356,5.93,64,119660.71
2023-03-06,Riverside General,Paediatrics,90,86,80,6,1,329,3.82,88,171333.6
2023-03-13,Riverside General,Emergency,168,156,141,10,2,610,3.91,116,302614.31
2023-03-13,Riverside General,Cardiology,73,69,63,4,1,293,4.24,72,139382.39
2023-03-13,Riverside General,Surgery,58,54,49,4,0,306,5.66,64,102766.02
2023-03-13,Riverside General,Paediatrics,99,93,87,6,1,392,4.21,88,180677.43
2023-03-20,Riverside General,Emergency,155,146,135,9,2,631,4.32,116,278772.2
2023-03-20,Riverside General,Cardiology,76,72,66,5,1,274,3.81,72,132994.34
2023-03-20,Riverside General,Surgery,58,55,50,4,0,319,5.8,64,104102.22
2023-03-20,Riverside General,Paediatrics,100,95,88,6,1,394,4.15,88,193070.63
2023-03-27,Riverside General,Emergency,168,158,145,10,2,667,4.22,116,313954.91
2023-03-27,Riverside General,Cardiology,73,70,65,5,1,290,4.15,72,131281.6
2023-03-27,Riverside General,Surgery,65,61,56,4,1,352,5.77,64,118786.87
