date,region,product_id,revenue,cost_of_goods,marketing_spend
2023-01-02,East,Product A,22673.07,12887.45,1642.5700000000002
2023-01-02,East,Product B,11506.77,7199.6900000000005,838.51
2023-01-02,East,Product C,18730.18,11749.2,1401.93
2023-01-02,North,Product A,31596.629999999997,17906.82,2256.5
2023-01-02,North,Product B,16479.77,10495.82,1186.52
2023-01-02,North,Product C,25956.08,16164.6,2035.06
2023-01-02,South,Product A,,14314.64,1950.81
2023-01-02,South,Product B,,8674.58,1035.65
2023-01-02,South,Product C,,13387.45,1494.1399999999999
2023-01-02,West,Product A,28924.11,16205.98,2123.43
2023-01-02,West,Product B,15493.01,9651.76,1182.12
2023-01-02,West,Product C,22590.23,14339.33,1631.78
2023-01-09,East,Product A,22302.77,12482.16,1810.1100000000001
2023-01-09,East,Product B,12204.68,7537.33,901.31
2023-01-09,East,Product C,18479.29,11764.93,1461.46
2023-01-09,North,Product A,30507.78,16955.99,2349.31
2023-01-09,North,Product B,16104.02,10057.03,1254.33
2023-01-09,North,Product C,27572.63,17471.82,2176.42
2023-01-09,South,Product A,,14939.93,2025.3000000000002
2023-01-09,South,Product B,,8240.65,1017.81
2023-01-09,South,Product C,,14345.25,1725.76
2023-01-09,West,Product A,27385.07,15627.41,2064.04
2023-01-09,West,Product B,15498.02,9712.19,1182.52
2023-01-09,West,Product C,24804.73,15715.800000000001,2052.95
2023-01-16,East,Product A,21614.51,12208.44,1581.57
2023-01-16,East,Product B,11322.11,7070.07,825.92
2023-01-16,East,Product C,19230.74,12237.25,1513.83
2023-01-16,North,Product A,30280.46,17054.39,2413.17
2023-01-16,North,Product B,17041.66,10517.39,1254.96
2023-01-16,North,Product C,25786.46,16430.010000000002,1810.91
2023-01-16,South,Product A,,14224.99,2015.94
2023-01-16,South,Product B,,8676.95,1085.61
2023-01-16,South,Product C,,13761.14,1658.04
2023-01-16,West,Product A,29377.45,16341.81,2155.42
2023-01-16,West,Product B,16002.96,10041.78,1207.6
2023-01-16,West,Product C,23873.03,15136.65,1746.56
2023-01-23,East,Product A,21527.67,12082.89,1644.52
2023-01-23,East,Product B,11751.33,7273.13,942.6500000000001
2023-01-23,East,Product C,18908.28,11938.5,1451.69
2023-01-23,North,Product A,30302.03,17338.0,2354.82
2023-01-23,North,Product B,16703.6,10437.4,1282.44
2023-01-23,North,Product C,25908.32,16279.79,1885.83
2023-01-23,South,Product A,,14846.17,2022.51
2023-01-23,South,Product B,,8431.85,952.82
2023-01-23,South,Product C,,13967.949999999999,1794.88
2023-01-23,West,Product A,28416.22,16212.78,2294.54
2023-01-23,West,Product B,15420.79,9739.220000000001,1160.04
2023-01-23,West,Product C,24317.97,15159.45,1835.6
2023-01-30,East,Product A,21096.02,12037.8,1564.69
2023-01-30,East,Product B,11882.560000000001,7444.360000000001,955.75
2023-01-30,East,Product C,19805.04,12527.17,1536.92
2023-01-30,North,Product A,31847.46,17777.33,2241.48
2023-01-30,North,Product B,16898.059999999998,10560.29,1304.32
2023-01-30,North,Product C,26165.27,16464.98,2023.2
2023-01-30,South,Product A,,14369.8,1881.3500000000001
2023-01-30,South,Product B,,8175.38,1070.69
2023-01-30,South,Product C,,13532.19,1679.8200000000002
2023-01-30,West,Product A,29054.68,16446.47,2254.09
2023-01-30,West,Product B,15126.86,9358.98,1144.2
2023-01-30,West,Product C,24949.809999999998,15604.84,1807.61
2023-02-06,East,Product A,23061.85,12829.01,1660.44
2023-02-06,East,Product B,12095.02,7503.37,858.71
2023-02-06,East,Product C,19654.42,12152.880000000001,1702.55
2023-02-06,North,Product A,31271.69,17760.08,2450.44
2023-02-06,North,Product B,16951.68,10488.56,1308.41
2023-02-06,North,Product C,28044.9,17724.25,2136.7200000000003
2023-02-06,South,Product A,,14366.16,1990.0400000000002
2023-02-06,South,Product B,,8565.18,1099.35
2023-02-06,South,Product C,,13860.47,1658.55
2023-02-06,West,Product A,31559.059999999998,17554.61,2453.61
2023-02-06,West,Product B,15647.880000000001,9655.84,1340.83
2023-02-06,West,Product C,24994.4,15831.98,1783.51
2023-02-13,East,Product A,21368.399999999998,11935.06,1635.82
2023-02-13,East,Product B,11759.04,7402.14,924.4100000000001
2023-02-13,East,Product C,18662.52,11928.79,1430.52
2023-02-13,North,Product A,30667.83,17213.46,2332.84
2023-02-13,North,Product B,16213.52,10142.49,1229.53
2023-02-13,North,Product C,26577.42,16707.86,2046.3500000000001
2023-02-13,South,Product A,,14428.22,1958.6
2023-02-13,South,Product B,,8220.19,996.4200000000001
2023-02-13,South,Product C,,14099.630000000001,1739.24
2023-02-13,West,Product A,30328.49,17206.95,2393.05
2023-02-13,West,Product B,15095.25,9474.23,1203.18
2023-02-13,West,Product C,25310.52,16099.09,1772.42
2023-02-20,East,Product A,23296.19,13102.060000000001,1827.9299999999998
2023-02-20,East,Product B,11615.52,7168.57,846.07
2023-02-20,East,Product C,19256.21,12085.31,1468.52
2023-02-20,North,Product A,32419.15,18478.1,2385.7799999999997
2023-02-20,North,Product B,16198.98,10147.83,1178.76
2023-02-20,North,Product C,27813.989999999998,17339.59,2045.92
2023-02-20,South,Product A,,14493.91,1959.3899999999999
2023-02-20,South,Product B,,8702.98,1000.88
2023-02-20,South,Product C,,14477.24,1682.47
2023-02-20,West,Product A,28457.44,16045.12,2235.63
2023-02-20,West,Product B,14559.01,9150.53,1071.08
2023-02-20,West,Product C,23565.0,15048.2,1699.98
2023-02-27,East,Product A,22833.3,12838.9,1786.08
2023-02-27,East,Product B,11391.44,7134.86,850.46
2023-02-27,East,Product C,18589.78,11663.49,1406.0
2023-02-27,North,Product A,31643.11,17749.5,2351.23
2023-02-27,North,Product B,17114.23,10623.51,1312.67
2023-02-27,North,Product C,27573.4,17379.13,1953.74
2023-02-27,South,Product A,,14027.36,1873.31
2023-02-27,South,Product B,,8470.05,1011.26
2023-02-27,South,Product C,,13648.95,1681.3799999999999
2023-02-27,West,Product A,27812.06,15579.62,2135.08
2023-02-27,West,Product B,15583.92,9742.51,1219.84
2023-02-27,West,Product C,25994.170000000002,16342.11,1898.47
2023-03-06,East,Product A,22414.86,12456.91,1757.46
2023-03-06,East,Product B,11470.369999999999,7103.719999999999,850.28
2023-03-06,East,Product C,19953.11,12471.58,1467.1
2023-03-06,North,Product A,33593.08,19006.85,2687.69
2023-03-06,North,Product B,16580.0,10307.25,1175.46
