date,region,product_id,fulfilled_orders,stockout_events
2023-01-02,East,Product A,27,0
2023-01-02,East,Product B,19,0
2023-01-02,East,Product C,14,0
2023-01-02,North,Product A,38,0
2023-01-02,North,Product B,29,0
2023-01-02,North,Product C,20,0
2023-01-02,South,Product A,31,0
2023-01-02,South,Product B,24,0
2023-01-02,South,Product C,16,0
2023-01-02,West,Product A,35,0
2023-01-02,West,Product B,26,0
2023-01-02,West,Product C,19,0
2023-01-09,East,Product A,27,0
2023-01-09,East,Product B,21,0
2023-01-09,East,Product C,15,0
2023-01-09,North,Product A,37,0
2023-01-09,North,Product B,26,0
2023-01-09,North,Product C,21,0
2023-01-09,South,Product A,32,0
2023-01-09,South,Product B,23,0
2023-01-09,South,Product C,17,0
2023-01-09,West,Product A,32,1
2023-01-09,West,Product B,27,1
2023-01-09,West,Product C,20,0
2023-01-16,East,Product A,26,0
2023-01-16,East,Product B,20,0
2023-01-16,East,Product C,15,0
2023-01-16,North,Product A,36,2
2023-01-16,North,Product B,29,0
2023-01-16,North,Product C,20,0
2023-01-16,South,Product A,31,1
2023-01-16,South,Product B,24,0
2023-01-16,South,Product C,17,0
2023-01-16,West,Product A,35,1
2023-01-16,West,Product B,28,0
2023-01-16,West,Product C,19,0
2023-01-23,East,Product A,27,0
2023-01-23,East,Product B,20,0
2023-01-23,East,Product C,15,0
2023-01-23,North,Product A,37,1
2023-01-23,North,Product B,30,0
2023-01-23,North,Product C,20,0
2023-01-23,South,Product A,32,0
2023-01-23,South,Product B,24,0
2023-01-23,South,Product C,17,0
2023-01-23,West,Product A,35,1
2023-01-23,West,Product B,26,0
2023-01-23,West,Product C,19,0
2023-01-30,East,Product A,26,0
2023-01-30,East,Product B,19,0
2023-01-30,East,Product C,16,0
2023-01-30,North,Product A,39,1
2023-01-30,North,Product B,29,1
2023-01-30,North,Product C,21,0
2023-01-30,South,Product A,30,1
2023-01-30,South,Product B,22,0
2023-01-30,South,Product C,17,0
2023-01-30,West,Product A,35,1
2023-01-30,West,Product B,26,0
2023-01-30,West,Product C,19,0
