date,region,product_id,revenue,units_sold,orders,customers
2023-01-02,North,Product A,31596.629999999997,118,38,28
2023-01-02,North,Product B,16479.77,88,29,22
2023-01-02,North,Product C,25956.08,63,20,16
2023-01-02,South,Product A,25321.92,95,31,24
2023-01-02,South,Product B,13802.6,72,24,20
2023-01-02,South,Product C,20867.37,52,16,13
2023-01-09,North,Product A,30507.78,113,37,28
2023-01-09,North,Product B,16104.02,84,26,21
2023-01-09,North,Product C,27572.63,67,21,17
2023-01-09,South,Product A,26555.239999999998,98,32,25
2023-01-09,South,Product B,13224.96,70,23,18
2023-01-09,South,Product C,22958.78,56,17,14
2023-01-16,North,Product A,30280.46,113,36,30
2023-01-16,North,Product B,17041.66,90,29,23
2023-01-16,North,Product C,25786.46,62,20,16
2023-01-16,South,Product A,25511.3,94,31,24
2023-01-16,South,Product B,13889.21,73,24,18
2023-01-16,South,Product C,22098.45,52,17,14
2023-01-23,North,Product A,30302.03,115,37,29
2023-01-23,North,Product B,16703.6,89,30,22
2023-01-23,North,Product C,25908.32,63,20,15
2023-01-23,South,Product A,26636.08,99,32,23
2023-01-23,South,Product B,13510.65,71,24,18
2023-01-23,South,Product C,21945.809999999998,54,17,14
2023-01-30,North,Product A,31847.46,119,39,30
2023-01-30,North,Product B,16898.059999999998,88,29,22
2023-01-30,North,Product C,26165.27,63,21,15
2023-01-30,South,Product A,25384.88,94,30,24
2023-01-30,South,Product B,13105.18,69,22,17
2023-01-30,South,Product C,21382.989999999998,51,17,14
2023-02-06,North,Product A,31271.69,117,38,30
2023-02-06,North,Product B,16951.68,89,29,23
2023-02-06,North,Product C,28044.9,68,22,18
2023-02-06,South,Product A,25344.29,95,29,24
2023-02-06,South,Product B,13773.32,74,23,18
2023-02-06,South,Product C,22027.74,53,17,14
2023-02-13,North,Product A,30667.83,115,36,30
2023-02-13,North,Product B,16213.52,86,28,23
2023-02-13,North,Product C,26577.42,64,22,17
2023-02-13,South,Product A,25769.06,96,30,24
2023-02-13,South,Product B,13184.550000000001,69,22,16
2023-02-13,South,Product C,22313.69,54,17,14
2023-02-20,North,Product A,32419.15,122,40,31
2023-02-20,North,Product B,16198.98,86,28,21
2023-02-20,North,Product C,27813.989999999998,67,21,17
2023-02-20,South,Product A,25768.05,95,31,24
2023-02-20,South,Product B,13704.93,73,23,18
2023-02-20,South,Product C,22515.02,56,18,14
2023-02-27,North,Product A,31643.11,117,39,30
2023-02-27,North,Product B,17114.23,90,29,23
2023-02-27,North,Product C,27573.4,67,22,18
2023-02-27,South,Product A,24936.02,93,30,23
2023-02-27,South,Product B,13712.99,73,23,19
2023-02-27,South,Product C,21606.03,52,17,14
2023-03-06,North,Product A,33593.08,127,40,32
2023-03-06,North,Product B,16580.0,87,29,22
2023-03-06,North,Product C,26299.19,64,21,17
2023-03-06,South,Product A,27269.47,102,33,26
2023-03-06,South,Product B,13613.09,71,23,18
2023-03-06,South,Product C,22861.87,56,18,14
2023-03-13,North,Product A,32367.9,120,39,30
2023-03-13,North,Product B,17268.4,91,29,23
2023-03-13,North,Product C,27243.309999999998,65,21,17
2023-03-13,South,Product A,24849.260000000002,92,30,23
2023-03-13,South,Product B,14050.9,74,23,18
2023-03-13,South,Product C,21566.34,52,18,13
2023-03-20,North,Product A,31651.879999999997,118,38,29
2023-03-20,North,Product B,16008.18,86,27,22
2023-03-20,North,Product C,28455.78,68,22,19
2023-03-20,South,Product A,27547.71,102,33,25
2023-03-20,South,Product B,14311.619999999999,76,24,19
2023-03-20,South,Product C,22498.57,54,17,13
2023-03-27,North,Product A,32554.33,120,39,30
2023-03-27,North,Product B,17370.78,91,30,23
2023-03-27,North,Product C,26403.489999999998,63,21,15
2023-03-27,South,Product A,26676.29,98,33,25
2023-03-27,South,Product B,14074.23,74,24,19
2023-03-27,South,Product C,22639.26,55,18,14
2023-04-03,North,Product A,33157.81,123,39,30
2023-04-03,North,Product B,16246.619999999999,87,27,22
2023-04-03,North,Product C,27614.86,66,22,16
2023-04-03,South,Product A,26715.64,98,32,26
2023-04-03,South,Product B,14810.79,78,25,20
2023-04-03,South,Product C,21915.22,53,17,14
2023-04-10,North,Product A,36106.59,134,43,35
2023-04-10,North,Product B,17790.63,93,30,22
2023-04-10,North,Product C,27494.86,67,22,17
2023-04-10,South,Product A,26337.440000000002,99,32,24
2023-04-10,South,Product B,14219.89,75,24,18
2023-04-10,South,Product C,21696.7,52,16,13
2023-04-17,North,Product A,33226.63,124,40,32
2023-04-17,North,Product B,17369.49,92,29,23
2023-04-17,North,Product C,27507.01,66,21,16
2023-04-17,South,Product A,27055.05,101,33,26
2023-04-17,South,Product B,14461.98,76,24,19
2023-04-17,South,Product C,23925.03,57,19,15
2023-04-24,North,Product A,32451.3,121,39,30
2023-04-24,North,Product B,17928.489999999998,93,30,23
2023-04-24,North,Product C,28986.93,69,22,18
2023-04-24,South,Product A,27518.08,102,34,25
2023-04-24,South,Product B,13854.53,72,23,18
2023-04-24,South,Product C,24008.98,57,19,14
2023-05-01,North,Product A,33378.130000000005,125,40,31
2023-05-01,North,Product B,17563.74,92,29,24
2023-05-01,North,Product C,26921.170000000002,64,22,18
2023-05-01,South,Product A,27006.89,100,32,26
2023-05-01,South,Product B,14409.349999999999,76,25,20
2023-05-01,South,Product C,23113.59,55,18,14
2023-05-08,North,Product A,33186.53,124,40,30
2023-05-08,North,Product B,17192.32,91,29,24
2023-05-08,North,Product C,29233.83,70,23,18
2023-05-08,South,Product A,27587.329999999998,103,33,26
2023-05-08,South,Product B,14838.69,77,26,20
2023-05-08,South,Product C,23619.11,57,18,14
2023-05-15,North,Product A,33293.97,124,40,33
