date,school,campus,grade,students_enrolled,attendance_present,absences,graduations,disciplinary_incidents,avg_test_score,teacher_absences,operating_cost
2023-01-02,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,76.5,1,30910.33
2023-01-02,Northstar Public School,North Campus,Grade_7,325,308,17,0,3,73.6,1,29784.8
2023-01-02,Northstar Public School,North Campus,Grade_8,320,305,15,0,3,74.3,1,29606.43
2023-01-02,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,78.3,0,29183.08
2023-01-02,Northstar Public School,South Campus,Grade_6,304,285,19,0,2,74.7,1,28472.2
2023-01-02,Northstar Public School,South Campus,Grade_7,299,282,17,0,2,77.2,1,27495.4
2023-01-02,Northstar Public School,South Campus,Grade_8,294,277,17,0,2,75.9,1,26088.71
2023-01-02,Northstar Public School,South Campus,Grade_9,285,267,18,0,2,75.2,1,25299.31
2023-01-09,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,76.6,1,30407.3
2023-01-09,Northstar Public School,North Campus,Grade_7,325,307,18,0,3,77.0,1,29923.77
2023-01-09,Northstar Public School,North Campus,Grade_8,320,300,20,0,3,73.8,0,29117.81
2023-01-09,Northstar Public School,North Campus,Grade_9,310,294,16,0,2,77.0,1,28947.14
2023-01-09,Northstar Public School,South Campus,Grade_6,304,290,14,0,2,74.2,1,27761.22
2023-01-09,Northstar Public School,South Campus,Grade_7,299,279,20,0,2,78.2,0,27731.64
2023-01-09,Northstar Public School,South Campus,Grade_8,294,278,16,0,2,75.7,0,27649.83
2023-01-09,Northstar Public School,South Campus,Grade_9,285,270,15,0,2,75.8,0,25295.67
2023-01-16,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,73.1,0,30950.62
2023-01-16,Northstar Public School,North Campus,Grade_7,325,307,18,0,3,75.5,0,29528.16
2023-01-16,Northstar Public School,North Campus,Grade_8,320,305,15,0,3,75.8,0,28120.06
2023-01-16,Northstar Public School,North Campus,Grade_9,310,291,19,0,2,75.6,1,27334.6
2023-01-16,Northstar Public School,South Campus,Grade_6,304,287,17,0,2,79.0,0,28761.76
2023-01-16,Northstar Public School,South Campus,Grade_7,299,286,13,0,2,73.1,0,27940.28
2023-01-16,Northstar Public School,South Campus,Grade_8,294,281,13,0,2,75.6,1,25984.59
2023-01-16,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,73.7,1,26542.36
2023-01-23,Northstar Public School,North Campus,Grade_6,330,312,18,0,3,73.0,1,29609.48
2023-01-23,Northstar Public School,North Campus,Grade_7,325,307,18,0,3,78.9,0,28930.0
2023-01-23,Northstar Public School,North Campus,Grade_8,320,306,14,0,3,76.3,1,29511.61
2023-01-23,Northstar Public School,North Campus,Grade_9,310,297,13,0,2,75.1,1,28780.74
2023-01-23,Northstar Public School,South Campus,Grade_6,304,285,19,0,2,77.6,1,27499.32
2023-01-23,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,74.1,1,27987.71
2023-01-23,Northstar Public School,South Campus,Grade_8,294,275,19,0,2,78.4,1,26530.37
2023-01-23,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,74.2,1,26025.18
2023-01-30,Northstar Public School,North Campus,Grade_6,330,309,21,0,3,73.1,1,30891.16
2023-01-30,Northstar Public School,North Campus,Grade_7,325,306,19,0,3,75.8,0,30458.53
2023-01-30,Northstar Public School,North Campus,Grade_8,320,302,18,0,3,73.9,0,29111.35
2023-01-30,Northstar Public School,North Campus,Grade_9,310,292,18,0,2,73.8,0,29254.45
2023-01-30,Northstar Public School,South Campus,Grade_6,304,284,20,0,2,74.9,1,28561.42
2023-01-30,Northstar Public School,South Campus,Grade_7,299,286,13,0,2,73.0,0,27579.78
2023-01-30,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,73.7,1,26663.15
2023-01-30,Northstar Public School,South Campus,Grade_9,285,272,13,0,2,74.9,0,26756.95
2023-02-06,Northstar Public School,North Campus,Grade_6,330,314,16,0,3,73.9,1,31092.36
2023-02-06,Northstar Public School,North Campus,Grade_7,325,304,21,0,3,76.5,0,30538.92
2023-02-06,Northstar Public School,North Campus,Grade_8,320,303,17,0,3,78.7,0,29257.07
2023-02-06,Northstar Public School,North Campus,Grade_9,310,296,14,0,2,74.4,1,29189.92
2023-02-06,Northstar Public School,South Campus,Grade_6,304,288,16,0,2,78.8,0,26816.08
2023-02-06,Northstar Public School,South Campus,Grade_7,299,282,17,0,2,76.4,1,27898.85
2023-02-06,Northstar Public School,South Campus,Grade_8,294,277,17,0,2,74.4,1,27588.72
2023-02-06,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,77.0,1,26819.95
2023-02-13,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,77.6,1,29329.38
2023-02-13,Northstar Public School,North Campus,Grade_7,325,310,15,0,3,73.8,0,30555.91
2023-02-13,Northstar Public School,North Campus,Grade_8,320,299,21,0,3,75.6,1,28032.88
2023-02-13,Northstar Public School,North Campus,Grade_9,310,295,15,0,2,78.7,1,27940.54
2023-02-13,Northstar Public School,South Campus,Grade_6,304,286,18,0,2,77.1,1,28420.51
2023-02-13,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,74.0,0,27524.35
2023-02-13,Northstar Public School,South Campus,Grade_8,294,279,15,0,2,73.7,0,27250.06
2023-02-13,Northstar Public School,South Campus,Grade_9,285,267,18,0,2,78.0,0,26871.39
2023-02-20,Northstar Public School,North Campus,Grade_6,330,311,19,0,3,75.1,0,29359.07
2023-02-20,Northstar Public School,North Campus,Grade_7,325,308,17,0,3,78.2,1,29981.49
2023-02-20,Northstar Public School,North Campus,Grade_8,320,301,19,0,3,74.1,1,28832.49
2023-02-20,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,77.5,1,28047.74
2023-02-20,Northstar Public School,South Campus,Grade_6,304,289,15,0,2,77.0,1,28468.38
2023-02-20,Northstar Public School,South Campus,Grade_7,299,285,14,0,2,75.6,1,27058.2
2023-02-20,Northstar Public School,South Campus,Grade_8,294,276,18,0,2,75.4,1,25859.42
2023-02-20,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,73.5,1,26255.96
2023-02-27,Northstar Public School,North Campus,Grade_6,330,315,15,0,3,74.3,1,29443.27
2023-02-27,Northstar Public School,North Campus,Grade_7,325,311,14,0,3,76.4,0,29079.28
2023-02-27,Northstar Public School,North Campus,Grade_8,320,305,15,0,3,75.8,0,29484.14
2023-02-27,Northstar Public School,North Campus,Grade_9,310,296,14,0,2,74.2,0,27788.37
2023-02-27,Northstar Public School,South Campus,Grade_6,304,285,19,0,2,75.3,1,26889.94
2023-02-27,Northstar Public School,South Campus,Grade_7,299,284,15,0,2,74.1,1,26763.55
2023-02-27,Northstar Public School,South Campus,Grade_8,294,278,16,0,2,73.9,1,26063.58
2023-02-27,Northstar Public School,South Campus,Grade_9,285,271,14,0,2,78.8,0,25467.95
2023-03-06,Northstar Public School,North Campus,Grade_6,330,312,18,0,3,78.7,1,29796.86
2023-03-06,Northstar Public School,North Campus,Grade_7,325,304,21,0,3,75.4,1,28839.21
2023-03-06,Northstar Public School,North Campus,Grade_8,320,306,14,0,3,75.1,1,29018.06
2023-03-06,Northstar Public School,North Campus,Grade_9,310,290,20,0,2,77.4,1,27425.42
2023-03-06,Northstar Public School,South Campus,Grade_6,304,289,15,0,2,76.4,1,27946.91
2023-03-06,Northstar Public School,South Campus,Grade_7,299,283,16,0,2,73.3,1,26153.31
2023-03-06,Northstar Public School,South Campus,Grade_8,294,280,14,0,2,73.4,0,26557.54
2023-03-06,Northstar Public School,South Campus,Grade_9,285,267,18,0,2,78.8,1,26574.2
2023-03-13,Northstar Public School,North Campus,Grade_6,330,316,14,0,3,76.1,1,29490.2
2023-03-13,Northstar Public School,North Campus,Grade_7,325,310,15,0,3,78.2,1,29166.27
2023-03-13,Northstar Public School,North Campus,Grade_8,320,304,16,0,3,74.8,1,28496.27
2023-03-13,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,73.7,0,28080.15
2023-03-13,Northstar Public School,South Campus,Grade_6,304,286,18,0,2,75.0,1,28026.52
2023-03-13,Northstar Public School,South Campus,Grade_7,299,280,19,0,2,76.6,0,26256.55
2023-03-13,Northstar Public School,South Campus,Grade_8,294,279,15,0,2,73.3,0,26515.51
2023-03-13,Northstar Public School,South Campus,Grade_9,285,269,16,0,2,74.1,1,25536.02
2023-03-20,Northstar Public School,North Campus,Grade_6,330,310,20,0,3,77.4,1,29324.01
2023-03-20,Northstar Public School,North Campus,Grade_7,325,305,20,0,3,73.7,1,29104.82
2023-03-20,Northstar Public School,North Campus,Grade_8,320,301,19,0,3,73.3,1,30023.42
2023-03-20,Northstar Public School,North Campus,Grade_9,310,293,17,0,2,75.5,1,27113.65
2023-03-20,Northstar Public School,South Campus,Grade_6,304,286,18,0,2,75.5,1,28201.82
